ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
LysoPC(15:0),-2.34156092256856,2.71137279295175e-15,-6.72136232911548,5.61497027096525e-08,3.6834204977532e-05,8.30602033591597
LysoPC(14:0),-2.10805669567388,2.22565021967824e-15,-5.93879394266291,6.68183491118735e-07,0.000217280661662751,5.94399522144555
LysoPC(17:0),-2.04656423017228,1.49215130991938e-15,-5.81374770285358,9.93661562482093e-07,0.000217280661662751,5.56544505993888
Inosine,2.16016237644412,-0.14761509080378,5.68577318269612,1.49130127221922e-06,0.000244573408643952,5.17820600622656
Sphingosine 1-phosphate,-1.90702272598213,1.63786808190144e-15,-5.33979329146115,4.46021748984037e-06,0.000585180534667056,4.13389565416123
LysoPC(16:1),-1.88412608362027,-1.13450915328883e-15,-5.2239147610903,6.42968208973234e-06,0.000702978575144069,3.7855644809766
PC(P38:3),1.80644278540504,3.46727854760864e-15,5.06131916733335,1.0724997855831e-05,0.00091134120509881,3.29859256006327
FA (26:0) [M-H]-,1.90200586344407,2.86402845883771e-15,5.04997487821911,1.11139171353513e-05,0.00091134120509881,3.26470698056124
LysoPC(18:0),-1.70887331193255,-2.24126273096203e-15,-4.91629173193793,1.68961424546712e-05,0.00123154105002937,2.86641652920368
LysoPC(16:0),-1.84115577362452,-2.24400937646566e-15,-4.76881653149993,2.67642469679835e-05,0.00175573460109972,2.42950947737942
PC (38:3) [M+H]+,-1.60007029540714,4.19405540389809e-16,-4.70481390080702,3.26518556842635e-05,0.0019472379389888,2.24081855081121
SM (d36:1) [M+H]+,1.66222879844102,9.85684335078988e-16,4.66787830101168,3.66132286209562e-05,0.00200152316461227,2.13220333485937
SM (d36:0) [M+H]+,1.60634924779098,2.97158131434827e-15,4.63138852190585,4.09911255842005e-05,0.00206847526024888,2.02510802015463
LysoPC(18:3),-1.63643262187465,2.54426109809932e-16,-4.55101913636803,5.25338434956275e-05,0.00230979185033796,1.78999914366768
PC(42:6),-1.4213687853488,-6.26813415986286e-16,-4.54928446768177,5.28153624315083e-05,0.00230979185033796,1.78493676064202
LysoPC(20:1),-1.57919073462199,5.73268284694469e-15,-4.49509944368685,6.23967774757512e-05,0.00246468792126572,1.62707493466266
PC(36:6),-1.55321265713498,1.01539147460509e-15,-4.48749517470884,6.3871485764508e-05,0.00246468792126572,1.60496337614761
UDP,1.67984789828844,2.80822818702712e-15,4.40196775822174,8.30092503756778e-05,0.00302522601369137,1.35702322750808
LysoPC(20:0),-1.48411894560862,1.36667297849039e-15,-4.34190306189589,9.97092938805989e-05,0.00344259456766699,1.183765224709
2-Ketoisovaleric acid,-1.75774384679995,2.87501504085223e-15,-4.3249011217493,0.000105007155136083,0.00344423468846351,1.13485874898723
C-PAF/methylCarbamyl-PAF C-16,-1.71497126532819,-0.0865861906789113,-4.2958202974834,0.000114715343240799,0.00358348881742685,1.05135034853312
LysoPC(18:1),-1.67671682167208,-8.00141203294302e-16,-4.26134116941399,0.000127368817499902,0.00362910127222226,0.952579692163817
Dehydroascorbic Acid,-1.70529113429889,-5.71013144175699e-16,-4.26073085426675,0.000127604675280247,0.00362910127222226,0.950833733722445
SM (d36:3) [M+H]+,1.43928636755034,-4.79940161686917e-16,4.24762967800952,0.000132771997764229,0.00362910127222226,0.913374789896029
N-Acetylphenylalanine,-1.75788323966551,-3.08925339013536e-16,-4.20178606121307,0.000152516378465467,0.00400202977093384,0.782607715339934
PC(40:7),-1.48343548412117,6.96346915315023e-15,-4.17457071537074,0.000165566828432025,0.00417737844043877,0.705209744455072
PC(34:5),-1.46989300395738,3.42607886505419e-16,-4.14296952164726,0.000182092755545667,0.00442417954214657,0.615562305199104
Lyso-PAF C16,-1.55409226174191,2.5303833102915e-15,-4.08851695270245,0.000214424054069452,0.00488214550646091,0.461669081636767
LysoPC(20:2),-1.43069008175091,4.73810805405132e-15,-4.08110792763742,0.000219234893865722,0.00488214550646091,0.440787833622168
PC(P-40:3),1.45038165552713,5.68700179541063e-16,4.06414202122565,0.000230651097030697,0.00488214550646091,0.393025326184713
Hydroquinone,-1.4946226249756,-8.92867594096125e-16,-4.0592949151198,0.000234017751335757,0.00488214550646091,0.379393480012906
PC(30:0)),-1.54289045714835,1.50255965077524e-15,-4.05343278982595,0.000238153439339557,0.00488214550646091,0.362915246942762
Proline Betaine,-1.72401729334166,1.07755239916093e-15,-3.96960408741318,0.000305685741653518,0.00607666201590024,0.128282907733654
LysoPC(20:3),-1.37219249997751,-2.41921644753932e-15,-3.91902806697272,0.000355086516044834,0.00685108101545328,-0.0123353653834677
PC(34:4),-1.42587625986876,-2.58415973804678e-15,-3.89587209928952,0.000380215029695493,0.00700158751383252,-0.0764714575059546
2-Hydroxyisocaproic acid,1.66485913909614,-1.02496859379538e-15,3.89230758516021,0.000384233461124955,0.00700158751383252,-0.0863303228177861
Pyruvate,-1.57646666531405,5.62050406216485e-16,-3.86934699203083,0.000411123640562407,0.00728911103267403,-0.149745537708534
6-Phosphogluconic Acid,1.37561600523377,1.04083408558608e-17,3.8438641309125,0.000443106126040883,0.00751757630565999,-0.219942383415833
LysoPC(P-16:0),-1.44111187389759,6.47630097698008e-16,-3.84093829722162,0.000446929079147469,0.00751757630565999,-0.227989510093034
PA(34:1)[M-H]-,1.62052926971963,-4.99311240501991e-16,3.73062731632502,0.000616839096580745,0.0101161611839242,-0.529436913641118
Thiamine (Vit B1),1.47047960252901,-4.28794731203534e-15,3.68619855964673,0.000701643189984688,0.011226291039755,-0.649738011885361
LysoPC(P-18:1),1.38939555157181,-6.24645011641315e-16,3.6372076349393,0.00080819693860162,0.0126232664695872,-0.781621243776577
SM(d30:1),-1.29017850960223,-4.67236926232628e-16,-3.62510276388941,0.0008368368517019,0.0126699952928747,-0.81408015040136
Dihydroorotic Acid,-1.41741915651455,-0.050362930359985,-3.61974764039767,0.000849816757448913,0.0126699952928747,-0.828423462592418
PC(36:5),-1.37187377102093,1.36799209113359e-15,-3.60822173654829,0.000878414825938029,0.0128053361292299,-0.859260611455253
SM (d34:1) [M+H]+,1.2218181373163,1.80978640638522e-15,3.57509245685493,0.000965869360942623,0.0135716906300862,-0.947634512766911
Cholesterol [M-H2O+H]+,1.40213213265888,4.2021146400469e-15,3.56792443287464,0.00098586480776502,0.0135716906300862,-0.9667037999989
PC (35:3) [M+H]+,-1.32450830655176,-7.89588302148777e-16,-3.56538259180246,0.000993050533908744,0.0135716906300862,-0.97346146850687
4-Pyridoxic Acid,-1.37190033508858,-0.0229165254949986,-3.53230718283605,0.00109126962517539,0.0145526103281232,-1.06118015679763
Xanthine,1.45292758893889,-8.74300631892311e-16,3.52010763492179,0.00112980140464139,0.0145526103281232,-1.09343274979018
LysoPC(20:5),-1.24856278975623,-5.31259064517897e-16,-3.51553354806414,0.0011445825994383,0.0145526103281232,-1.10551125418925
"PS(16:0/20:3(8Z,11Z,14Z))",1.28158747728416,8.54640432497907e-16,3.51278289718335,0.00115356057479025,0.0145526103281232,-1.11277096867276
Hydroxybutyrylcarnitine,1.36114950656954,1.65376971376456e-15,3.48516471872886,0.00124753307389682,0.0154411640844588,-1.18550538213123
Taurine,1.30908877758833,1.96110488959178e-15,3.44968650625893,0.00137906445294113,0.0165759406037008,-1.27851412666194
4-Aminobutanoate (GABA),1.31789885175897,-2.76254713549307e-15,3.44694818061598,0.00138975111768833,0.0165759406037008,-1.28567269970174
LysoPE(18:0),-1.400912630909,-9.17668718791731e-16,-3.40951519437025,0.00154403046118065,0.018025405571108,-1.38323688125288
Pimelic Acid,-1.36275334231397,-4.84276970376859e-16,-3.40442567845669,0.00156623188651395,0.018025405571108,-1.39645940671237
SM (d38:2) [M+H]+,1.22575802191517,-6.01486453237025e-15,3.38118322169264,0.00167155923169719,0.0189059113102303,-1.45671182123673
Proline,1.21761772846117,-4.0167522086243e-15,3.36869608467583,0.00173090916548252,0.0189124061232954,-1.48899311054059
LysoPC(P-18:0),-1.33321365128926,8.46978737145676e-16,-3.36417771488666,0.00175287640940449,0.0189124061232954,-1.50065828019492
2-Arachidonoylglycerol,1.33592843612671,0.0659004689289925,3.36300461760123,0.00175862313036741,0.0189124061232954,-1.5036855338547
Caffeine,-1.1244819282651,6.25656933668968e-16,-3.35174091684016,0.00181472485594752,0.0192009597661544,-1.53272370311804
Arginine,1.25392944528073,1.98676434100727e-15,3.33685407648461,0.00189149841326535,0.0196956025254297,-1.57102272350628
Tyramine,-1.22674113403858,0.122199944832954,-3.32775548350073,0.00193993690049045,0.0198843532300271,-1.59438548282916
PC(31:0),-1.30619177503743,5.73253828665502e-16,-3.29182831631943,0.00214301277383935,0.0216279443021326,-1.68629985208314
PC(34:0),1.0800026828661,0.104801689428473,3.27742646392528,0.00222997563980195,0.0221646063592436,-1.72299224269385
Trigonelline/N-Methylnicotinate,-1.14176592459965,1.0245710529988e-16,-3.27080177881193,0.00227109635990985,0.0222364061507592,-1.73984068594454
115.027@1.04_ANPNEG,-1.37414725632184,-8.2052420413703e-16,-3.26282879277857,0.0023215434840019,0.0223960665515478,-1.76009335293015
Malonic Acid,1.46736342722365,-1.19088766625808e-15,3.21982833798095,0.00261251843233017,0.0248378564001245,-1.86884796332186
PC(38:8),-1.20656379278014,4.60858203451172e-16,-3.17842731536835,0.0029251580104458,0.027412909355035,-1.97279027418292
GlcCer (d42:1) [M+Na]+,1.09666417942163,-2.72235937496627e-15,3.13413932883488,0.00329872481464689,0.0299976137517511,-2.08312885099524
"PS(16:0/18:2(9Z,12Z))",-1.21945940567241,1.44068784679874e-15,-3.13267566316395,0.00331181040386158,0.0299976137517511,-2.08676015542822
PI(36:5),-1.0904562231268,-3.19940833085989e-15,-3.12974611586189,0.00333814909127718,0.0299976137517511,-2.09402530590193
GlcCer (d42:1) [M+H]+,1.08878006898278,3.4526779583525e-15,3.12348828971884,0.00339507670999089,0.0300968962399193,-2.1095312146757
Tartaric Acid,1.32076619585626,1.17093834628434e-15,3.10801811617882,0.00353977595435744,0.0309612403474464,-2.1477862055594
Argininosuccinic Acid,1.18894466340038,3.07161703479627e-15,3.09508337791979,0.00366521582945265,0.0312243277496181,-2.17968613040668
Meso-Tartaric Acid,1.31635255071605,-1.39645239816133e-15,3.09263734761549,0.00368940459537748,0.0312243277496181,-2.18570979381403
PC(42:8),-1.16893939986831,1.94325169381819e-16,-3.09030107311616,0.00371264872632655,0.0312243277496181,-2.19146055189528
PC(34:3),-1.15644518158578,1.25449419371056e-15,-3.08542916858814,0.00376156613554567,0.0312352833533919,-2.20344454268969
PC(32:3),-1.15882019373516,-2.29850860566927e-16,-3.07250010077416,0.00389435066455435,0.0315911257475184,-2.23519348963519
Serine,1.12768820715553,1.31441443377659e-15,3.07188914567851,0.00390073351455639,0.0315911257475184,-2.23669181290299
Hypoxanthine,1.336732694489,-0.0654611196859843,3.05728087505692,0.00405632326714168,0.0320753032069022,-2.27246479452265
GlcCer (d41:1) [M+HAc-H]-,1.08981211937317,-1.15041078515195e-15,3.05709794931286,0.00405830818014159,0.0320753032069022,-2.2729121026406
Methionine  Lactamide,-1.29453084172279,-0.0345898105862708,-3.0394602292371,0.00425405455781224,0.033222140356248,-2.3159664413397
LPA(18:1)[M-H]-,-1.26733226896377,-0.0908755623920869,-3.03114219607473,0.00434942608424598,0.0335673354266513,-2.33621922720233
1-Methylguanine,-1.00036719839161,-5.80698683583236e-16,-3.02216304101287,0.00445463650991927,0.0336862134119828,-2.3580442065889
"PS(14:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1.25568613553165,2.27986032830252e-15,3.02107630412293,0.00446753135189407,0.0336862134119828,-2.36068300924744
Protoporphyrin,1.04747552022199,1.45803508155851e-15,3.01464243008316,0.00454459622653277,0.0338778991432443,-2.37629392027819
Citraconic Acid,-1.24262009416974,4.47847777381346e-16,-2.9998769738407,0.00472621296694838,0.0348359068125634,-2.41204397400476
PC (o-32:0) [M+H]+,1.12716476277017,4.96564594998361e-15,2.99069148122442,0.00484261693857227,0.0352972967967046,-2.43422995950081
GlcCer (d42:2) [M+H]+,1.06027112142893,-5.19795433547484e-15,2.97659543633547,0.00502650399821896,0.0362350178333147,-2.46819567055732
