Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
PF4,1.44567063619363,18.6302855610587,7.95798103347458,2.58994739825387e-07,0.000457125715791809,7.04396592906646
QPCT,-1.60475886695016,10.6993377077025,-6.98144383714984,1.58453062856961e-06,0.00104492259978838,5.37302182787428
TGFB1,1.48319205302781,16.085805185587,6.92215156517944,1.77607240757233e-06,0.00104492259978838,5.26677947531492
APP,1.32034624915781,12.910695262034,6.72554354163857,2.60184139558651e-06,0.00114806251580254,4.9105777676218
CCN2,1.2772076280883,13.223741692126,6.36699034025712,5.29094118760671e-06,0.00186770223922517,4.24564260062534
A2M,1.13154244702262,15.8650375054216,6.19903188720763,7.42165420026075e-06,0.00218320327724337,3.92746849845018
LTBP1,1.3075919825134,16.9264414167195,6.10761271692049,8.93665225449633e-06,0.00225331303274086,3.75252945380659
PF4V1,1.75597565127006,14.3475886099841,5.98497295405055,1.1485338989898e-05,0.00253395291464625,3.51593396804834
SNCA,1.79340561529807,14.0307403206731,5.9209398116189,1.31031015337638e-05,0.00256966380078814,3.39154364110729
LPL,-1.43732308160865,17.2133410755601,-5.81852862793438,1.61948395376356e-05,0.00285838917839269,3.19139800032437
COL4A2,-1.74319995255833,11.949166093547,-5.46434904022776,3.40328976471343e-05,0.00502542469537337,2.4882474761343
PRDX2,1.09522150081175,14.348860607886,5.46248967028842,3.41671933963062e-05,0.00502542469537337,2.48451302914457
FN1,-1.33698763061133,17.1097123842713,-5.37707228096769,4.09608308688148e-05,0.00556122049872754,2.31249478232853
AIDA,1.16827626048096,10.2384526238118,5.31290926857361,4.69642184397755e-05,0.00592084611044312,2.18269656171241
UGT8,0.95587032311344,13.5440743092941,5.24822201933081,5.39326171306024e-05,0.00599509900131895,2.05134616094363
SPARC,1.34964486673191,12.4052356035722,5.23766503152366,5.51665872420571e-05,0.00599509900131895,2.02986382658486
FBLN5,-2.10320760112062,10.853406825591,-5.21637984092133,5.77431631855083e-05,0.00599509900131895,1.98651219206053
PDGFA,1.05994113105643,12.9064226151924,5.15766628412309,6.55078717854105e-05,0.00642341076118052,1.86666681279291
FN1.1,-1.14206298847594,17.6230372426241,-5.08380991605333,7.6813912969998e-05,0.00713560823116034,1.7153780864669
SRGN,1.43887172853598,16.6035681532192,4.89692210822756,0.000115202093945078,0.00982343123957048,1.33005988623108
MMRN1,1.08872072736526,17.4433387826127,4.89028518978239,0.000116879351858912,0.00982343123957048,1.31631429223524
H4-16,-0.955038848733913,18.7824356595297,-4.74832502614755,0.000159372728848819,0.0126504220005841,1.02137488346913
ICAM3,-1.94201347830611,11.8126749664636,-4.73290458782146,0.000164849691792315,0.0126504220005841,0.989235523491234
CARHSP1,1.38461526149042,11.6423935994408,4.69144912385841,0.000180542214088546,0.0128781819352399,0.902741662991178
AQR,-1.12378733721544,11.5310048587466,-4.68675950670008,0.000182410508997732,0.0128781819352399,0.892948845515726
SERPINE2,0.927266230224416,11.3820450790264,4.63102982021665,0.000206176541357837,0.013996215211407,0.77645103411397
BMP1,-0.724170101112312,14.3023168340012,-4.57503316194352,0.000233230273381917,0.0151047947100869,0.659176629223705
SFPQ,-0.985441447601347,12.7632093659859,-4.5627660438555,0.000239622805599113,0.0151047947100869,0.633457843941799
THBS1,0.844625301376563,16.8016326451886,4.53710057488895,0.000253578367233274,0.0152713404191699,0.579617921682966
AHSP,1.06534953248914,10.0909888345266,4.51840328944164,0.000264261516079683,0.0152713404191699,0.540370213258423
FN3K,1.2318134476738,12.5529582274378,4.5036586060993,0.000273007208528878,0.0152713404191699,0.50940488108718
NCF1,-1.07123607157825,13.5781972368694,-4.4875789642693,0.000282879550441763,0.0152713404191699,0.475621758581231
ANTXR1,-0.817024700816924,16.0298238327634,-4.48336437589992,0.000285526478092129,0.0152713404191699,0.466764555562997
ABCF2,-1.86020269911609,11.5886086653005,-4.43284594108674,0.000319276925331075,0.0165742286238043,0.360522716653388
CAMP,-0.866773023239872,20.1228763928453,-4.41249795419157,0.000333987293694083,0.0168425020962873,0.317693373999512
PPBP,0.720938048176137,21.9380595292075,4.34391622747288,0.000388811164405854,0.0187088543458684,0.17319888631425
BDNF,1.24622510336199,12.1888687290876,4.34000741199413,0.000392196946627271,0.0187088543458684,0.164957378574911
PPIC,-0.769132150946763,12.5499978273672,-4.28338954599253,0.000444716389899827,0.020232046702143,0.0455172923764237
NDST1,-1.05739401161865,10.8011120070677,-4.27848623890946,0.000449586238014966,0.020232046702143,0.0351680556634095
FBXO7,1.36402762652939,13.9412012754616,4.26115352217971,0.000467236185850851,0.020232046702143,-0.00142166770820306
MNDA,-1.04210828463662,16.3345624160601,-4.25721013984996,0.000471348420292391,0.020232046702143,-0.0097475284974644
PRDX6,0.840304061111243,14.7137847105744,4.24514788350915,0.000484155249904567,0.020232046702143,-0.0352180336846537
SKP1,1.73435010135967,10.293875055563,4.23709013394414,0.000492905387077705,0.020232046702143,-0.0522349945855289
FXYD2,-0.930624030242224,11.9515558081748,-4.16156440550139,0.000583083126400238,0.0233895845021913,-0.211813678385503
CSE1L,-1.49217019734179,12.3098044784175,-4.11124013074603,0.000652226599472564,0.0255817766237572,-0.318203975402606
CXCL2,1.36287132980349,11.0739915947469,4.08177612875562,0.0006964792740498,0.0261890439813659,-0.380507867391916
RPL27,1.64856072760038,11.0466119447728,4.08119274133859,0.000697385307152522,0.0261890439813659,-0.381741558798874
TARS1,2.51874053977707,10.8517937787739,4.03832095336082,0.000767314926539098,0.0282148092779481,-0.472407402097707
EIF2S1,1.6449781914381,10.7240679155561,4.00033109858134,0.000835147487162944,0.0299633220878811,-0.552750765654578
CALU,2.66172071200099,10.8136833784413,3.9846285647569,0.00086491394557513,0.0299633220878811,-0.585958056875159
THBS4,-0.599598177458187,16.8542731486251,-3.98417172341305,0.000865795709054921,0.0299633220878811,-0.58692415029836
LEAP2,-1.01229950940625,13.286813879333,-3.96424348586633,0.000905150211301718,0.0307228869797602,-0.629065291802897
SFRP4,-0.871582700101013,12.6912728155441,-3.94504412536395,0.000944760976114647,0.0314623230724972,-0.669661449525063
ANXA1,-0.751153897165901,14.9413502724278,-3.92368200021644,0.000990879094102024,0.031780838086943,-0.714825126211166
EIF5A,0.838462848212884,15.0704355989824,3.91941649809128,0.00100035446884765,0.031780838086943,-0.723842401058918
LMNA,0.44535362865909,12.6325398089297,3.91585125994277,0.00100834387131377,0.031780838086943,-0.731379085980458
MYH10,-0.78566102602595,14.2072990830274,-3.87553819438098,0.00110325183472186,0.0341620962856857,-0.816581462296476
FGA.1,-2.43651304844875,11.0011131754123,-3.72563319676581,0.00154144971243439,0.0469079093525294,-1.1329888416686
FUCA1,-0.912252770448528,13.202181074741,-3.71407718358837,0.00158169418474074,0.0473167836621595,-1.157342493896
FBN2,-0.67712260604093,14.9347853063572,-3.66461930029321,0.00176609547396374,0.0519526418591001,-1.26149271617502
MBL2,0.74187265937855,14.9532526709687,3.65098045753372,0.00182060897916914,0.0520589910981477,-1.29018930630619
PAFAH1B1,1.05493366772484,11.5718734972669,3.6431421613474,0.00185269198336597,0.0520589910981477,-1.30667617963009
PYGM,2.0189422547312,11.5843270670078,3.63993982490161,0.00186596068063612,0.0520589910981477,-1.31341078065515
CYBB,-0.799565490198226,12.2355605223892,-3.63474378683615,0.00188769146191583,0.0520589910981477,-1.32433679620819
UBE2V1,1.16404714563,10.0435120577968,3.61429859948093,0.00197566639342886,0.0531364014752157,-1.36731087960803
ST13,0.901829987687104,15.5041661456665,3.6117374387709,0.00198697025346415,0.0531364014752157,-1.37269223983549
HEXB,-0.641031559179893,13.8134600878277,-3.60337935262258,0.00202430804114091,0.0533269207852792,-1.39025059282823
HLA-A.1,-0.717395712789842,12.920967623239,-3.58721093152612,0.00209852537144205,0.054469077655812,-1.4242025106414
TLL2,-0.665607384592803,11.753777644228,-3.5751716148372,0.00215553767658027,0.0547264988838915,-1.44947130005486
RPL32,-0.671619908227517,15.3011869701983,-3.57207345141691,0.00217045604638663,0.0547264988838915,-1.45597213098171
CON_sp|LEP_HUMAN|,-1.14050878983019,13.4296537337115,-3.53262787356773,0.00236958941632111,0.0589059904198135,-1.53867403716318
APLP2,-0.901684721829477,13.0055508245073,-3.45548982931766,0.00281275422885331,0.0684006537044383,-1.70001250744612
ANKRD28,-1.76293713638239,13.7820834903188,-3.45289054725696,0.00282903553565099,0.0684006537044383,-1.705439245377
LOX,-0.72025741482918,14.0098604363792,-3.43899998995256,0.00291763444746939,0.0695895243213985,-1.73442815900148
